"Breves notas biográficas del Sr. D. Filomeno Mata, tomadas de un libro en preparación, con motivo del primer Centenario de su natalicio, que se celebra el 5 de julio de 1945",----------
La modernización porfiriana vista por los viajeros,"Covarrubias, José Enrique, Itzel Toledo García (Coord.)"
El vértigo de la victoria: Álvaro Obregón,"Krauze, Enrique"
Reforma desde el origen: Plutarco Elías Calles,"Krauze, Enrique"
General misionero: Lázaro Cárdenas.,"Krauze, Enrique"
Servicio de limpia en la ciudad de México,"Álvarez Lona, Ana Lilia"
"Casas, viviendas y hogares en la historia de México","Loreto López, Rosalva"
Historia de la deuda externa de América Latina,"Marichal, Carlos"
Los sepulcros de Santo Domingo y Cocheras: una casa en el Centro Histórico de la Ciudad de México,"González Cosío D., Bertha"
Catálogo de documentos de la municipalidad de Tlalpan I.,"Ruiz Abreu, Carlos E."
México y Estados Unidos,"Rebolledo, Miguel"
"Diagnóstico sobre la cooperación internacional para el desarrollo en México, 2014-2015","Pérez Pineda, Jorge A."
En búsqueda de los sentidos y significados de la educación ambiental: aportaciones iberoamericanas,"Calixto Flores, Raúl"
"Vicente Lombardo Toledano. Obra Educativa: vol. I, conocimiento y cultura","Lombardo Toledano, Vicente"
"Vicente Lombardo Toledano. Obra Educativa: vol. II, conocimiento y cultura","Lombardo Toledano, Vicente"
"Vicente Lombardo Toledano. Obra Educativa: vol. III, conocimiento y cultura","Lombardo Toledano, Vicente"
Cartas desde la prisión: sobre el movimiento estudiantil-popular,"Unzueta, Gerardo"
Ensayos sobre las clases sociales en México,"Othón de Mendizábal, Miguel"
Quincuagésimo Aniversario del Partido de la Revolución Mexicana: los precursores de la revolución,Partido Revolucionario Institucional
Nacionalismo Revolucionario: siete tesis fundamentales de campaña,"Madrid Hurtado, Miguel de la"
"Los Estados Unidos y la América Latina, 1921-1929","Fabela, Isidro"
La personalidad de México,"Lombardo Toledano, Vicente"
Temascalcingo: fotos de un álbum,"Esquivel, Fernando"
Biografías de amigos y conocidos,"Silva Herzog, Jesús"
"Cronología de las intervenciones extranjeras en América Latina. Tomo III, 1899-1945 ","Selser, Gregorio"
Historia de México desde la restauración de la República en 1867 hasta la caída de Porfirio Diaz: el apogeo del régimen porfiriano. Tomo III,"García Granados, Ricardo"
Juanita la larga,"Valera, Juan"
"Prensa y oposición política en México la Nación, 1941-1960","Serrano Álvarez, Pablo"
El compañero Morones: biografía de un gran líder. Primer tomo,"Ortiz Petricioli, José"
Temas mexicanos,"García Cantú, Gastón"
Resumen gráfico de la historia del arte en México ,"Toussain, A."
Mujeres de ojos grandes,"Mastretta, Ángeles"
La lucha de clases a través de la historia de México: revolución democraticoburguesa,"Ramos Pedrueza, Rafael"
Tesis. El zapatismo: orígenes y peculiaridades de una rebelión campesina,"Ávila Espinosa, Felipe Arturo"
Tarahumara: caminos cruzados,"Nomikós, Yen Alexandra"
"El águila, el jaguar y la serpiente. Arte indígena americano, América del Norte: Alaska, Canadá, los Estados Unidos","Covarrubias, Miguel"
Álvaro Obregón: fuego y cenizas de la revolución mexicana,"Castro, Pedro"
Abya Yala: una visión indígena,Colectivo de Autores
Cómo analizamos relatos infantiles y juveniles,"Lluch, Gemma"
Reflexiones sobre política urbana,"Iracheta Cenecorta, Alfonso Xavier (Coord.)"
Vale un centenario. Zacatecas: retiembles de la toma,"Burciaga C., José Arturo (Coord.)"
Prácticas de alfabetización en la primaria: apropiación docente de nuevas propuestas,"Espinosa Tavera, Epifanio"
Lo que de Santiago se sigue contando: leyendas del apóstol Santiago en México,"Campos Moreno, Araceli"
"Censo Villa de Santiago de Saltillo, año de 1777","Durón Jiménez, Martha"
Diversidad urbana y ciudad: una perspectiva antropológica,"Paniagua Mijangos, Jorge"
La restauración del Estado de Coahuila de Zaragoza. Sesquicentenario,"Bazant, Jan"
"Justicia social, anhelo de México: General José Álvarez de la Cadena","Álvarez Sepúlveda, Manola"
La invención de la paz: de la República Cristiana del Duque de Sully a la Sociedad de Naciones de Simón Bolívar,"Reza, Germán A. de la"
Otomíes y mexicanos en la tierra de en medio: pueblos de indios en el norponiente del valle de México,"López Mora, Rebeca"
La Constitución de 1917 y la jurisprudencia de la quinta época del Semanario Judicial de la Federación,"Saavedra Herrera, Camilo Emiliano"
Una república fundada en creencias: nuevas perspectivas del análisis económico del derecho,"Basu, Kaushik"
Ga aka chhaka ki: relación de hazañas del hijo del relámpago,"Castellanos, Javier"
